entry_bar,exit_bar,direction,entry_price,target_price,stop_price,target_offset,stop_offset,exit_type,pnl_points,pnl_dollar,close_at_exit,high_at_exit,low_at_exit,entry_date,entry_time,exit_date,exit_time,mean,stddev,innerTop,innerBot,outerTop,outerBot
27585,27588,short,24858.75,24830.1825,24873.0337,28.5675,14.2837,stop,-14.2837,-285.67,24873.0,24875.0,24861.5,10/10/2025,11:50:49.507004,10/10/2025,11:51:04.470000,24842.375,13.4324,24855.8074,24828.9426,24869.2399,24815.5101
27596,27624,short,24877.25,24833.2114,24899.2693,44.0386,22.0193,reversal,28.75,575.0,24848.5,24867.25,24847.0,10/10/2025,11:51:35.622000,10/10/2025,11:54:06.105004,24866.845,15.5485,24882.3935,24851.2965,24897.9419,24835.7481
27624,27629,long,24848.5,24879.5969,24832.9515,31.0969,15.5485,target,31.0969,621.94,24882.0,24883.5,24863.5,10/10/2025,11:54:06.105004,10/10/2025,11:54:37.875001,24868.62,14.1269,24882.7469,24854.4931,24896.8739,24840.3661
27629,27633,short,24882.0,24853.7461,24896.1269,28.2539,14.1269,target,28.2539,565.08,24848.75,24860.0,24845.75,10/10/2025,11:54:37.875001,10/10/2025,11:55:02.238002,24869.605,13.3234,24882.9284,24856.2816,24896.2518,24842.9582
27633,27634,long,24848.75,24875.3968,24835.4266,26.6468,13.3234,stop,-13.3234,-266.47,24831.25,24848.5,24830.25,10/10/2025,11:55:02.238002,10/10/2025,11:55:08.499000,24869.12,14.238,24883.358,24854.882,24897.596,24840.644
27640,27645,long,24836.25,24874.3236,24817.2132,38.0736,19.0368,stop,-19.0368,-380.74,24810.0,24831.25,24809.75,10/10/2025,11:55:37.182001,10/10/2025,11:56:11.504030,24857.47,18.8522,24876.3222,24838.6178,24895.1743,24819.7657
27654,27676,long,24797.0,24852.7683,24769.1159,55.7683,27.8841,reversal,32.75,655.0,24829.75,24843.25,24829.75,10/10/2025,11:56:46.806002,10/10/2025,11:59:00.484000,24816.08,26.9691,24843.0491,24789.1109,24870.0182,24762.1418
27676,27692,short,24829.75,24775.8118,24856.7191,53.9382,26.9691,reversal,37.0,740.0,24792.75,24796.5,24788.0,10/10/2025,11:59:00.484000,10/10/2025,12:00:34.393000,24804.09,15.9962,24820.0862,24788.0938,24836.0825,24772.0975
27692,27711,long,24792.75,24824.7425,24776.7538,31.9925,15.9962,stop,-15.9962,-319.92,24778.5,24785.75,24776.25,10/10/2025,12:00:34.393000,10/10/2025,12:02:53.216002,24801.35,15.9668,24817.3168,24785.3832,24833.2837,24769.4163
27711,27714,long,24778.5,24810.4337,24762.5332,31.9337,15.9668,stop,-15.9668,-319.34,24763.0,24767.25,24759.75,10/10/2025,12:02:53.216002,10/10/2025,12:03:04.439018,24800.675,17.0595,24817.7345,24783.6155,24834.7941,24766.5559
27717,27723,long,24779.0,24814.1514,24761.4243,35.1514,17.5757,stop,-17.5757,-351.51,24757.75,24768.25,24756.75,10/10/2025,12:03:18.823001,10/10/2025,12:04:00.055003,24795.88,18.739,24814.619,24777.141,24833.358,24758.402
27727,27734,long,24781.75,24817.4818,24763.8841,35.7318,17.8659,reversal,25.25,505.0,24807.0,24807.0,24795.0,10/10/2025,12:04:25.745000,10/10/2025,12:05:15.106000,24786.49,14.9886,24801.4786,24771.5014,24816.4672,24756.5128
27734,27746,short,24807.0,24777.0228,24821.9886,29.9772,14.9886,target,29.9772,599.54,24777.5,24789.5,24775.5,10/10/2025,12:05:15.106000,10/10/2025,12:06:30.929006,24786.77,16.1607,24802.9307,24770.6093,24819.0913,24754.4487
27747,27755,long,24766.25,24798.7006,24750.0247,32.4506,16.2253,target,32.4506,649.01,24786.0,24800.0,24785.0,10/10/2025,12:06:40.084004,10/10/2025,12:07:44.420000,24783.04,16.3808,24799.4208,24766.6592,24815.8016,24750.2784
27755,27758,short,24786.0,24753.2384,24802.3808,32.7616,16.3808,stop,-16.3808,-327.62,24802.5,24802.5,24783.0,10/10/2025,12:07:44.420000,10/10/2025,12:08:13.144001,24782.655,16.0361,24798.6911,24766.6189,24814.7272,24750.5828
27758,27773,short,24802.5,24770.4278,24818.5361,32.0722,16.0361,reversal,25.0,500.0,24777.5,24781.0,24771.5,10/10/2025,12:08:13.144001,10/10/2025,12:10:20.542003,24789.29,16.1443,24805.4343,24773.1457,24821.5786,24757.0014
27773,27776,long,24777.5,24809.7886,24761.3557,32.2886,16.1443,stop,-16.1443,-322.89,24761.5,24774.0,24759.25,10/10/2025,12:10:20.542003,10/10/2025,12:10:47.786000,24789.91,15.1612,24805.0712,24774.7488,24820.2324,24759.5876
27777,27782,long,24761.75,24793.0057,24746.1221,31.2557,15.6279,target,31.2557,625.11,24793.5,24793.5,24778.75,10/10/2025,12:10:58.039000,10/10/2025,12:11:29.315000,24788.655,16.2074,24804.8624,24772.4476,24821.0698,24756.2402
27786,27791,short,24802.25,24770.4447,24818.1527,31.8053,15.9027,stop,-15.9027,-318.05,24817.75,24819.5,24812.0,10/10/2025,12:11:46.886000,10/10/2025,12:12:12.429000,24788.205,16.0419,24804.2469,24772.1631,24820.2887,24756.1213
27791,27821,short,24817.75,24785.6663,24833.7919,32.0837,16.0419,target,32.0837,641.67,24787.0,24792.75,24782.75,10/10/2025,12:12:12.429000,10/10/2025,12:16:28.628000,24799.175,17.8938,24817.0688,24781.2812,24834.9626,24763.3874
27822,27832,long,24776.75,24812.4863,24758.8819,35.7363,17.8681,stop,-17.8681,-357.36,24758.5,24766.5,24755.25,10/10/2025,12:16:38.530000,10/10/2025,12:18:04.929002,24798.83,18.1394,24816.9694,24780.6906,24835.1087,24762.5513
27834,27838,long,24768.25,24806.3835,24749.1833,38.1335,19.0667,stop,-19.0667,-381.33,24757.25,24758.25,24744.25,10/10/2025,12:18:23.638000,10/10/2025,12:19:05.685001,24794.075,21.8154,24815.8904,24772.2596,24837.7059,24750.4441
27839,27862,long,24757.25,24801.9595,24734.8952,44.7095,22.3548,reversal,34.5,690.0,24791.75,24796.75,24789.25,10/10/2025,12:19:07.025000,10/10/2025,12:22:28.580000,24776.65,16.2942,24792.9442,24760.3558,24809.2385,24744.0615
27862,27866,short,24791.75,24759.1615,24808.0442,32.5885,16.2942,stop,-16.2942,-325.88,24809.25,24809.75,24793.0,10/10/2025,12:22:28.580000,10/10/2025,12:23:02.698003,24775.85,15.1836,24791.0336,24760.6664,24806.2173,24745.4827
27877,27902,short,24825.75,24769.4765,24853.8868,56.2735,28.1368,reversal,31.0,620.0,24794.75,24794.75,24784.75,10/10/2025,12:24:03.796005,10/10/2025,12:28:49.171001,24806.6,21.4671,24828.0671,24785.1329,24849.5341,24763.6659
27902,27921,long,24794.75,24837.6841,24773.2829,42.9341,21.4671,reversal,35.0,700.0,24829.75,24829.75,24818.25,10/10/2025,12:28:49.171001,10/10/2025,12:32:02.364000,24810.845,15.3575,24826.2025,24795.4875,24841.56,24780.13
27921,27932,short,24829.75,24799.035,24845.1075,30.715,15.3575,target,30.715,614.3,24798.5,24812.0,24798.5,10/10/2025,12:32:02.364000,10/10/2025,12:34:02.063000,24808.31,12.0943,24820.4043,24796.2157,24832.4985,24784.1215
27933,27940,long,24786.5,24811.2956,24774.1022,24.7956,12.3978,stop,-12.3978,-247.96,24770.5,24777.25,24770.25,10/10/2025,12:34:08.255001,10/10/2025,12:34:46.117000,24804.275,15.3245,24819.5995,24788.9505,24834.924,24773.626
27948,27996,long,24766.5,24807.0104,24746.2448,40.5104,20.2552,stop,-20.2552,-405.1,24744.5,24753.0,24744.5,10/10/2025,12:35:30.408000,10/10/2025,12:43:07.210000,24776.885,12.968,24789.853,24763.917,24802.8209,24750.9491
28006,28034,long,24732.0,24773.9991,24711.0004,41.9991,20.9996,stop,-20.9996,-419.99,24707.25,24718.25,24707.25,10/10/2025,12:44:11.280000,10/10/2025,12:48:06.948000,24740.36,15.5427,24755.9027,24724.8173,24771.4454,24709.2746
28042,28052,long,24702.25,24734.1568,24686.2966,31.9068,15.9534,stop,-15.9534,-319.07,24680.0,24691.5,24679.75,10/10/2025,12:48:46.954001,10/10/2025,12:50:18.355014,24720.885,18.9903,24739.8753,24701.8947,24758.8657,24682.9043
28056,28078,long,24682.5,24725.6763,24660.9119,43.1763,21.5881,stop,-21.5881,-431.76,24662.75,24666.0,24660.25,10/10/2025,12:50:47.585003,10/10/2025,12:54:03.166025,24691.625,16.3509,24707.9759,24675.2741,24724.3267,24658.9233
28078,28114,long,24662.75,24695.4517,24646.3991,32.7017,16.3509,stop,-16.3509,-327.02,24639.75,24650.0,24639.75,10/10/2025,12:54:03.166025,10/10/2025,13:00:04.158002,24671.475,12.4882,24683.9632,24658.9868,24696.4514,24646.4986
28116,28122,long,24659.5,24684.9904,24646.7548,25.4904,12.7452,stop,-12.7452,-254.9,24639.75,24656.0,24639.75,10/10/2025,13:00:12.383006,10/10/2025,13:01:10.611002,24668.69,13.3409,24682.0309,24655.3491,24695.3717,24642.0083
