agg_bar,close,high,low,choppiness
549,24905.00,24906.75,24902.75,0.231884
550,24902.50,24905.00,24902.00,0.054545
551,24898.50,24903.75,24898.50,0.530612
552,24903.75,24904.50,24897.25,0.080645
553,24905.00,24905.00,24901.00,0.393939
554,24903.75,24907.50,24903.50,0.000000
555,24909.75,24910.25,24904.50,0.345455
556,24906.50,24911.75,24905.25,0.169231
557,24905.00,24907.75,24904.50,0.306452
558,24904.75,24906.00,24902.75,0.134615
559,24900.50,24905.50,24900.50,0.391304
560,24899.50,24901.00,24897.75,0.456522
561,24900.00,24901.00,24897.75,0.043478
562,24901.00,24901.25,24897.25,0.142857
563,24903.75,24904.50,24900.00,0.319149
564,24907.00,24907.25,24902.50,0.452830
565,24910.50,24911.00,24907.00,0.509434
566,24914.75,24914.75,24910.00,0.574074
567,24914.25,24916.50,24913.75,0.326087
568,24914.25,24915.00,24912.75,0.051282
569,24908.75,24914.25,24908.75,0.523810
570,24910.75,24911.50,24907.75,0.304348
571,24910.50,24911.75,24908.75,0.142857
572,24908.00,24910.75,24906.75,0.255814
573,24905.75,24908.25,24905.00,0.463415
574,24911.50,24912.50,24906.00,0.254545
575,24914.75,24916.00,24911.75,0.642857
576,24913.25,24915.50,24913.25,0.134615
577,24910.00,24913.25,24908.00,0.404255
578,24911.00,24912.25,24907.50,0.183673
579,24909.75,24912.75,24908.25,0.017241
580,24909.00,24911.50,24906.75,0.142857
581,24910.75,24910.75,24907.50,0.080000
582,24913.25,24914.00,24910.75,0.377778
583,24911.00,24915.50,24911.00,0.022727
584,24910.25,24910.75,24908.75,0.307692
585,24912.50,24914.00,24909.75,0.139535
586,24914.25,24914.25,24909.25,0.355556
587,24911.00,24915.00,24910.75,0.111111
588,24911.25,24912.00,24908.25,0.230769
589,24913.50,24915.25,24911.25,0.208333
590,24915.75,24916.25,24913.25,0.418605
591,24917.25,24918.25,24915.00,0.365854
592,24913.50,24918.25,24912.75,0.191489
593,24909.25,24913.25,24909.00,0.615385
594,24912.50,24913.25,24909.00,0.071429
595,24912.75,24914.75,24911.25,0.291667
596,24915.50,24916.25,24911.50,0.240000
597,24918.50,24919.00,24915.00,0.469388
598,24917.25,24919.25,24915.75,0.142857
599,24914.00,24917.75,24913.25,0.375000
600,24909.50,24914.00,24909.25,0.607843
601,24908.50,24911.75,24908.50,0.440000
602,24910.25,24910.75,24907.00,0.063830
603,24911.75,24913.00,24909.75,0.317073
604,24913.75,24914.00,24910.50,0.333333
605,24911.25,24915.50,24910.75,0.043478
606,24910.75,24912.25,24909.25,0.266667
607,24911.00,24913.25,24910.50,0.023810
608,24915.25,24915.75,24910.00,0.391304
609,24919.50,24919.50,24915.00,0.653846
610,24918.50,24920.00,24917.50,0.254902
611,24920.75,24921.25,24918.00,0.121951
612,24922.25,24922.25,24919.50,0.441176
613,24924.00,24924.25,24921.50,0.371429
614,24924.50,24925.25,24922.50,0.272727
615,24922.50,24925.75,24922.25,0.166667
616,24925.00,24926.75,24922.50,0.047619
617,24922.75,24925.50,24920.50,0.019608
618,24924.75,24925.00,24921.25,0.019231
619,24916.75,24924.75,24916.25,0.347826
620,24920.00,24920.25,24916.75,0.301587
