block_num,block_class,trades,wins,win_rate,total_pnl,avg_std100,avg_range_10,avg_band_width,avg_abs_slope_10,avg_abs_slope_20,avg_band_width_change,avg_mean_slope_10
49.0,MEDIUM,20,11,55.0,887.6400000000001,8.24997205,5.17125,12.3749582,0.1593437499999709,0.16941250000000765,-1.3814302215524124,-0.012906249999978175
50.0,MEDIUM,20,10,50.0,1233.65,13.206837400000001,6.5375,19.81025615,0.20945624999998472,0.21975625000000948,-0.10540536031360297,0.01434374999998908
51.0,MEDIUM,20,9,45.0,180.05999999999995,10.8328381,5.91875,16.24925695,0.18473125000002255,0.19360625000001164,-1.8523282203100926,-0.0769562500000211
52.0,LOW,20,6,30.0,-1976.0700000000002,15.4689817,7.83625,23.2034726,0.2693125000000691,0.3065562500000124,-1.6950547462004217,-0.10197499999996582
53.0,MEDIUM,20,8,40.0,-493.58000000000004,14.68330555,7.7575,22.0249583,0.25011249999999563,0.2529312499999924,-1.4399166971304092,0.17190000000002328
54.0,LOW,20,4,20.0,-2806.28,14.11323715,6.65125,21.1698558,0.16295624999995198,0.17448749999999563,-0.42428417381825045,-0.04490624999998545
55.0,LOW,20,6,30.0,-1186.07,13.1328887,6.575,19.6993328,0.1807562500000313,0.17618124999999965,-0.6613534473057693,-0.0018687500000123744
56.0,LOW,20,4,20.0,-1924.1799999999998,7.51325925,4.8549999999999995,11.26988865,0.08988750000002256,0.11143124999999601,-0.5943561345187138,0.04562500000001819
57.0,MEDIUM,20,8,40.0,-87.11000000000001,11.20427055,5.6049999999999995,16.80640575,0.20056875000000218,0.21665937500002658,-0.5007982283243474,0.011468750000003641
58.0,MEDIUM,20,8,40.0,-105.52000000000004,10.49453245,5.5375,15.741798499999998,0.1466062499999498,0.15198437499997453,-0.3328036043901103,0.10283124999999926
59.0,MEDIUM,20,10,50.0,465.31999999999994,8.566762149999999,5.9662500000000005,12.8501433,0.07410625000002255,0.07681250000000546,-0.5614711716262174,-0.010656250000010914
60.0,MEDIUM,20,9,45.0,640.7,12.85024875,9.64875,19.27537325,0.09929374999999709,0.0930468750000091,0.3946040567800277,-0.008081249999995634
61.0,MEDIUM,20,11,55.0,3083.85,21.64433765,13.975,32.46650655,0.3261437500000284,0.3194218750000073,-2.9935379673220135,-0.0013687499999832653
62.0,MEDIUM,20,10,50.0,368.99999999999994,18.47144915,10.116249999999999,27.707173599999997,0.3494625000000451,0.3984687500000018,-1.8474805020424931,0.037812500000000006
63.0,MEDIUM,20,8,40.0,179.72999999999973,19.043384,7.6775,28.5650758,0.41486875000004153,0.4233093749999898,-1.9987005576010926,-0.05718125000001236
64.0,MEDIUM,20,9,45.0,55.68999999999997,11.7537409,8.036249999999999,17.6306113,0.19629999999995562,0.21308437499998037,-1.2087685884405517,-0.10412500000000365
65.0,MEDIUM,20,10,50.0,737.48,14.260220050000001,7.865,21.39032995,0.15334375000000364,0.17302812499999162,-0.6958270591833717,-0.10258125000002109
66.0,LOW,20,5,25.0,-2295.1,14.15361375,6.720000000000001,21.2304207,0.1467624999999862,0.16146875000000366,-0.46524279899409776,0.04771249999999781
67.0,MEDIUM,20,11,55.0,1626.05,12.8260129,7.4825,19.2390194,0.15433124999999565,0.156559374999988,-0.5045634404591992,0.027368750000023284
68.0,HIGH,20,12,60.0,3115.33,13.796560349999998,7.225,20.6948405,0.20308125000003202,0.2167531250000138,-0.6537821131252093,0.018093750000043655
69.0,LOW,20,7,35.0,-1127.29,13.3030072,7.86125,19.95451085,0.20511875000003785,0.2257531250000011,-0.9119095561556918,0.034806250000037835
70.0,MEDIUM,20,8,40.0,638.6000000000001,14.96935535,7.483750000000001,22.454033,0.247037500000024,0.2676468750000095,-1.5573624638209362,-0.04537500000000363
71.0,MEDIUM,20,9,45.0,184.99000000000018,16.301712900000002,8.6975,24.452569349999997,0.20475000000002183,0.19299999999998363,-0.948861635473996,0.015974999999998546
72.0,MEDIUM,20,9,45.0,-592.9000000000001,12.7918255,8.877500000000001,19.187738500000002,0.12793124999998326,0.11136875000001054,0.5528630085221107,0.03678125000000364
73.0,MEDIUM,20,9,45.0,416.31,12.4029487,5.8149999999999995,18.604423099999998,0.2555812500000138,0.2724531250000291,-1.197785383507704,-0.11451875000000655
74.0,MEDIUM,20,8,40.0,-1163.91,18.552069499999998,8.89375,27.8281043,0.29313124999998763,0.284846875000012,0.22832368910813478,-0.17065624999997456
75.0,MEDIUM,20,9,45.0,1116.31,17.04634465,10.54375,25.56951685,0.23209375000002183,0.22503750000002584,-0.7788885753138743,-0.09091874999994617
76.0,LOW,20,6,30.0,-2227.5299999999997,22.51440585,9.175,33.7716088,0.3617562500000531,0.3390062500000295,0.011646240472619418,-0.023818750000009457
77.0,LOW,20,7,35.0,-1896.22,19.97094705,10.98875,29.95642055,0.29503749999999856,0.2953218749999723,-0.7907121619231564,0.017275000000008728
78.0,LOW,20,7,35.0,-1973.6599999999999,15.2375053,7.859999999999999,22.85625765,0.20705000000003565,0.20683437500001672,-0.28949056634103715,0.07459999999997308
79.0,MEDIUM,20,9,45.0,599.5500000000001,11.8662516,7.35625,17.7993774,0.14806250000003274,0.14983750000001236,-0.6772210410000145,0.016849999999994907
80.0,HIGH,20,12,60.0,2980.48,12.0709289,6.029999999999999,18.1063933,0.22670625000002476,0.255790625000036,-1.3442685187143286,0.18949375000003782
81.0,MEDIUM,20,11,55.0,819.62,9.43042445,6.37,14.14563665,0.11283124999998109,0.1211999999999989,-0.04184149358274976,0.09418125000000145
82.0,LOW,20,7,35.0,-451.68,16.21940085,7.391249999999999,24.329101299999998,0.2504374999999891,0.24633749999999965,-0.9236085787535625,-0.03177500000003419
83.0,MEDIUM,20,9,45.0,511.6500000000001,12.069290800000001,7.102500000000001,18.103935999999997,0.2216687500000262,0.22761562499999854,-1.243905725020487,0.141106250000048
84.0,LOW,20,4,20.0,-3923.37,14.53928995,7.626250000000001,21.80893495,0.30001249999993884,0.2898624999999993,-0.49789269235535977,-0.18468749999996362
85.0,LOW,20,6,30.0,-2484.17,20.6196341,10.5,30.92945125,0.39148125000001527,0.45699999999998,-1.4249719581980564,0.10798124999999345
