cycle_id,week,category,seed_dt,exit_dt,direction,seed_price,exit_price,exit_type,depth,max_position,pnl_ticks,pnl_dollars,bars_held,mfe_ticks,mae_ticks,agg_bars_held
3375,2025-W46,GOOD,2025-11-12 11:57:15,2025-11-12 11:57:41,LONG,25542.75,25552.75,REVERSAL,0,1,40.0,196.5,470,40.0,4.0,2
3376,2025-W46,GOOD,2025-11-12 12:05:14,2025-11-12 12:05:43,SHORT,25548.75,25538.75,REVERSAL,0,1,40.0,196.5,647,40.0,12.0,3
3377,2025-W46,GOOD,2025-11-12 12:10:11,2025-11-12 12:10:27,LONG,25522.0,25532.0,REVERSAL,0,1,40.0,196.5,374,40.0,1.0,2
3378,2025-W46,GOOD,2025-11-12 12:12:07,2025-11-12 12:12:57,SHORT,25553.25,25543.25,REVERSAL,0,1,40.0,196.5,712,40.0,5.0,3
3379,2025-W46,GOOD,2025-11-12 12:13:12,2025-11-12 12:15:35,SHORT,25551.75,25571.75,HARD_STOP,1,2,-120.0,-607.0,1957,25.0,60.0,9
3380,2025-W46,GOOD,2025-11-12 12:16:33,2025-11-12 12:17:21,LONG,25553.0,25533.0,HARD_STOP,1,2,-120.0,-607.0,1093,21.0,60.0,5
3381,2025-W46,GOOD,2025-11-12 12:18:21,2025-11-12 12:18:53,SHORT,25534.0,25524.0,REVERSAL,0,1,40.0,196.5,495,40.0,10.0,3
3382,2025-W46,GOOD,2025-11-12 12:18:53,2025-11-12 12:19:10,LONG,25524.0,25534.0,REVERSAL,0,1,40.0,196.5,364,40.0,14.0,2
3383,2025-W46,GOOD,2025-11-12 12:24:35,2025-11-12 12:26:04,SHORT,25556.0,25556.0,REVERSAL,1,2,40.0,193.0,1143,20.0,40.0,5
3384,2025-W46,GOOD,2025-11-12 12:26:11,2025-11-12 12:26:20,LONG,25544.0,25554.0,REVERSAL,0,1,40.0,196.5,180,40.0,7.0,1
3385,2025-W46,GOOD,2025-11-12 12:26:20,2025-11-12 12:27:44,SHORT,25554.0,25544.0,REVERSAL,0,1,40.0,196.5,904,40.0,28.0,5
3386,2025-W46,GOOD,2025-11-12 12:34:38,2025-11-12 12:36:55,SHORT,25565.25,25585.25,HARD_STOP,1,2,-120.0,-607.0,2108,0.0,60.0,9
3387,2025-W46,GOOD,2025-11-12 12:39:08,2025-11-12 12:39:37,SHORT,25615.75,25605.5,REVERSAL,0,1,41.0,201.5,662,41.0,0.0,3
3388,2025-W46,GOOD,2025-11-12 12:40:07,2025-11-12 12:41:41,SHORT,25618.25,25618.25,REVERSAL,1,2,40.0,193.0,1868,20.0,40.0,8
3389,2025-W46,GOOD,2025-11-12 12:51:39,2025-11-12 12:51:49,LONG,25555.5,25565.5,REVERSAL,0,1,40.0,196.5,141,40.0,3.0,1
