cycle_id,week,category,seed_dt,exit_dt,direction,seed_price,avg_entry_price,exit_price,exit_type,depth,max_position,pnl_ticks,pnl_dollars,bars_held,mfe_ticks,mae_ticks,entry_signed_chop,entry_dchop,entry_d2chop,entry_signed_slope,entry_dr2,entry_dslope
9995,W50,MID,2025-12-11 11:12:24,2025-12-11 11:12:59,LONG,25502.2500,25497.2500,25502.2500,REVERSAL,1,2,40.0000,200.0000,624,20.0000,40.0000,-0.096154,-0.075017,0.167953,-1.250000,-0.165899,-1.125000
9996,W50,MID,2025-12-11 11:13:28,2025-12-11 11:14:03,SHORT,25509.7500,25509.7500,25499.7500,REVERSAL,0,1,40.0000,200.0000,344,40.0000,0.0000,-0.081301,-0.143505,0.002378,-1.250000,0.131658,-2.375000
9997,W50,MID,2025-12-11 11:14:03,2025-12-11 11:14:22,LONG,25499.7500,25499.7500,25509.7500,REVERSAL,0,1,40.0000,200.0000,162,40.0000,0.0000,0.010417,-0.070884,0.072621,0.125000,-0.354839,-1.125000
9998,W50,MID,2025-12-11 11:17:17,2025-12-11 11:21:00,LONG,25491.5000,25486.5000,25492.0000,REVERSAL,1,2,44.0000,220.0000,4383,32.0000,49.0000,0.077778,-0.331313,-0.446826,0.875000,-0.831614,-3.625000
9999,W50,MID,2025-12-11 11:21:50,2025-12-11 11:22:57,SHORT,25500.7500,25500.7500,25490.7500,REVERSAL,0,1,40.0000,200.0000,1089,40.0000,37.0000,-0.049383,-0.082196,0.027296,-0.500000,0.269231,-0.750000
10000,W50,MID,2025-12-11 11:25:00,2025-12-11 11:25:20,SHORT,25523.2500,25523.2500,25513.2500,REVERSAL,0,1,40.0000,200.0000,392,40.0000,6.0000,0.013158,-0.211561,0.063720,0.125000,-0.989921,-2.375000
10001,W50,MID,2025-12-11 11:25:47,2025-12-11 11:28:07,LONG,25489.2500,25484.1250,25469.0000,HARD_STOP,1,2,-121.0000,-605.0000,2857,37.0000,60.5000,0.000000,-0.365854,-0.115813,0.000000,-0.766658,-5.625000
10002,W50,MID,2025-12-11 11:30:21,2025-12-11 11:31:34,SHORT,25490.2500,25495.2500,25490.2500,REVERSAL,1,2,40.0000,200.0000,1215,33.0000,40.0000,0.035294,-0.216614,0.206080,0.375000,-0.894698,-3.750000
10003,W50,MID,2025-12-11 11:32:03,2025-12-11 11:32:37,LONG,25473.0000,25473.0000,25483.0000,REVERSAL,0,1,40.0000,200.0000,441,40.0000,17.0000,0.082353,-0.298082,-0.104746,0.875000,0.000000,-3.500000
10004,W50,MID,2025-12-11 11:35:30,2025-12-11 11:37:00,SHORT,25492.7500,25497.7500,25512.7500,HARD_STOP,1,2,-120.0000,-600.0000,1158,3.0000,60.0000,-0.008547,-0.092370,0.078451,-0.125000,-0.113684,-1.250000
10005,W50,MID,2025-12-11 11:37:35,2025-12-11 11:40:57,SHORT,25522.7500,25527.7500,25542.7500,HARD_STOP,1,2,-120.0000,-600.0000,2844,39.0000,60.0000,-0.015385,-0.109615,0.211037,-0.125000,-0.877875,-1.250000
10006,W50,MID,2025-12-11 11:41:54,2025-12-11 11:44:08,SHORT,25565.2500,25570.2500,25565.2500,REVERSAL,1,2,40.0000,200.0000,2679,24.0000,40.0000,-0.064103,-0.366277,-0.331541,-0.625000,-0.946909,-3.625000
10007,W50,MID,2025-12-11 11:44:08,2025-12-11 11:45:41,LONG,25565.2500,25565.2500,25575.5000,REVERSAL,0,1,41.0000,205.0000,1338,41.0000,29.0000,-0.096386,-0.215303,-0.474360,-1.000000,-0.419397,-2.000000
10008,W50,MID,2025-12-11 11:46:26,2025-12-11 11:47:36,SHORT,25583.5000,25583.5000,25573.2500,REVERSAL,0,1,41.0000,205.0000,1126,41.0000,23.0000,-0.042254,-0.108909,0.269340,-0.375000,-0.227762,-1.250000
10009,W50,MID,2025-12-11 11:49:03,2025-12-11 11:52:06,LONG,25544.2500,25539.2500,25524.2500,HARD_STOP,1,2,-120.0000,-600.0000,3789,39.0000,60.0000,0.010989,-0.325968,-0.418738,0.125000,-0.958101,-3.750000
10010,W50,MID,2025-12-11 11:53:23,2025-12-11 11:54:41,LONG,25506.0000,25500.8750,25485.5000,HARD_STOP,1,2,-123.0000,-615.0000,2141,9.0000,61.5000,-0.094737,-0.370610,-0.421063,-1.125000,-0.695179,-4.750000
10011,W50,MID,2025-12-11 11:55:00,2025-12-11 11:55:19,SHORT,25495.5000,25495.5000,25485.5000,REVERSAL,0,1,40.0000,200.0000,428,40.0000,13.0000,0.098039,0.076061,0.316583,1.250000,0.395604,1.000000
10012,W50,MID,2025-12-11 11:56:11,2025-12-11 11:56:31,LONG,25473.2500,25473.2500,25483.2500,REVERSAL,0,1,40.0000,200.0000,499,40.0000,14.0000,0.086957,-0.202899,-0.192754,0.750000,0.288610,-1.750000
10013,W50,MID,2025-12-11 11:57:18,2025-12-11 11:58:25,LONG,25472.5000,25472.5000,25482.5000,REVERSAL,0,1,40.0000,200.0000,1307,40.0000,25.0000,0.082192,-0.098659,0.132990,0.750000,-0.166049,-1.375000
10014,W50,MID,2025-12-11 11:59:56,2025-12-11 12:00:39,SHORT,25501.2500,25506.2500,25521.2500,HARD_STOP,1,2,-120.0000,-600.0000,1801,26.0000,60.0000,0.025000,-0.560714,-0.829762,0.250000,-0.991560,-4.875000
10015,W50,MID,2025-12-11 12:00:49,2025-12-11 12:02:00,LONG,25509.2500,25509.2500,25519.2500,REVERSAL,0,1,40.0000,200.0000,1319,40.0000,26.0000,0.051724,-0.226054,-0.331956,0.750000,-0.898703,-3.000000
10016,W50,MID,2025-12-11 12:02:00,2025-12-11 12:02:44,SHORT,25519.2500,25519.2500,25509.0000,REVERSAL,0,1,41.0000,205.0000,692,41.0000,13.0000,0.044944,-0.102115,0.113658,0.500000,-0.222973,-1.375000
10017,W50,MID,2025-12-11 12:02:44,2025-12-11 12:03:02,LONG,25509.0000,25509.0000,25519.5000,REVERSAL,0,1,42.0000,210.0000,265,42.0000,10.0000,0.000000,-0.191489,-0.351064,0.000000,-0.870968,-2.250000
10018,W50,MID,2025-12-11 12:04:55,2025-12-11 12:10:30,SHORT,25528.5000,25533.5000,25548.5000,HARD_STOP,1,2,-120.0000,-600.0000,3847,38.0000,60.0000,-0.060241,-0.211188,-0.205693,-0.625000,-0.685567,-1.750000
10019,W50,MID,2025-12-11 12:10:53,2025-12-11 12:12:36,LONG,25539.2500,25539.2500,25549.5000,REVERSAL,0,1,41.0000,205.0000,1144,41.0000,5.0000,-0.078652,-0.070284,0.291418,-0.875000,-0.298196,-0.875000
